,name,boss_num,prog_time,guild_name
9,Sire Denathrius,9,25.00002,Restricted
0,Shriekwing,0,11.11112,CATASTROPHE
1,Huntsman Altimor,1,19.44446,CATASTROPHE
2,Hungering Destroyer,2,11.11112,CATASTROPHE
3,Sun King's Salvation,3,13.8889,CATASTROPHE
4,Artificer Xy'mox,4,16.66668,CATASTROPHE
5,Lady Inerva Darkvein,5,13.8889,CATASTROPHE
6,The Council of Blood,6,5.55556,CATASTROPHE
7,Sludgefist,7,16.66668,CATASTROPHE
8,Stone Legion Generals,8,13.8889,CATASTROPHE
9,Sire Denathrius,9,25.00002,CATASTROPHE
0,Shriekwing,0,11.11112,Hope n Despair
1,Huntsman Altimor,1,16.66668,Hope n Despair
2,Hungering Destroyer,2,8.33334,Hope n Despair
3,Sun King's Salvation,3,2.77778,Hope n Despair
4,Artificer Xy'mox,4,8.33334,Hope n Despair
5,Lady Inerva Darkvein,5,11.11112,Hope n Despair
6,The Council of Blood,6,5.55556,Hope n Despair
7,Sludgefist,7,19.44446,Hope n Despair
8,Stone Legion Generals,8,22.22224,Hope n Despair
9,Sire Denathrius,9,13.8889,Hope n Despair
0,Shriekwing,0,5.55556,Northern Sky
1,Huntsman Altimor,1,8.33334,Northern Sky
2,Hungering Destroyer,2,8.33334,Northern Sky
3,Sun King's Salvation,3,16.66668,Northern Sky
4,Artificer Xy'mox,4,16.66668,Northern Sky
5,Lady Inerva Darkvein,5,11.11112,Northern Sky
6,The Council of Blood,6,8.33334,Northern Sky
7,Sludgefist,7,5.55556,Northern Sky
8,Stone Legion Generals,8,27.7778,Northern Sky
9,Sire Denathrius,9,19.44446,Northern Sky
0,Shriekwing,0,11.11112,The Next Step
1,Huntsman Altimor,1,0.0,The Next Step
2,Hungering Destroyer,2,5.55556,The Next Step
3,Sun King's Salvation,3,2.77778,The Next Step
4,Artificer Xy'mox,4,13.8889,The Next Step
5,Lady Inerva Darkvein,5,0.0,The Next Step
6,The Council of Blood,6,19.44446,The Next Step
7,Sludgefist,7,13.8889,The Next Step
8,Stone Legion Generals,8,47.22226,The Next Step
9,Sire Denathrius,9,25.00002,The Next Step
0,Shriekwing,0,8.33334,Slack
1,Huntsman Altimor,1,5.55556,Slack
2,Hungering Destroyer,2,5.55556,Slack
3,Sun King's Salvation,3,16.66668,Slack
4,Artificer Xy'mox,4,11.11112,Slack
5,Lady Inerva Darkvein,5,5.55556,Slack
6,The Council of Blood,6,22.22224,Slack
7,Sludgefist,7,13.8889,Slack
8,Stone Legion Generals,8,44.44448,Slack
9,Sire Denathrius,9,36.11114,Slack
0,Shriekwing,0,19.44446,NonSense
1,Huntsman Altimor,1,13.8889,NonSense
2,Hungering Destroyer,2,11.11112,NonSense
3,Sun King's Salvation,3,2.77778,NonSense
4,Artificer Xy'mox,4,13.8889,NonSense
5,Lady Inerva Darkvein,5,5.55556,NonSense
6,The Council of Blood,6,25.00002,NonSense
7,Sludgefist,7,22.22224,NonSense
8,Stone Legion Generals,8,30.55558,NonSense
9,Sire Denathrius,9,44.44448,NonSense
0,Shriekwing,0,2.77778,CyaThursday
1,Huntsman Altimor,1,2.77778,CyaThursday
2,Hungering Destroyer,2,5.55556,CyaThursday
3,Sun King's Salvation,3,0.0,CyaThursday
4,Artificer Xy'mox,4,2.77778,CyaThursday
5,Lady Inerva Darkvein,5,2.77778,CyaThursday
6,The Council of Blood,6,0.0,CyaThursday
7,Sludgefist,7,0.0,CyaThursday
8,Stone Legion Generals,8,8.33334,CyaThursday
9,Sire Denathrius,9,5.55556,CyaThursday
0,Shriekwing,0,0.0,Tony Halme Pro Skater
1,Huntsman Altimor,1,2.77778,Tony Halme Pro Skater
2,Hungering Destroyer,2,2.77778,Tony Halme Pro Skater
3,Sun King's Salvation,3,5.55556,Tony Halme Pro Skater
4,Artificer Xy'mox,4,8.33334,Tony Halme Pro Skater
5,Lady Inerva Darkvein,5,5.55556,Tony Halme Pro Skater
6,The Council of Blood,6,8.33334,Tony Halme Pro Skater
7,Sludgefist,7,16.66668,Tony Halme Pro Skater
8,Stone Legion Generals,8,27.7778,Tony Halme Pro Skater
9,Sire Denathrius,9,25.00002,Tony Halme Pro Skater
0,Shriekwing,0,5.55556,Security
1,Huntsman Altimor,1,0.0,Security
2,Hungering Destroyer,2,8.33334,Security
3,Sun King's Salvation,3,8.33334,Security
4,Artificer Xy'mox,4,5.55556,Security
5,Lady Inerva Darkvein,5,8.33334,Security
6,The Council of Blood,6,11.11112,Security
7,Sludgefist,7,8.33334,Security
8,Stone Legion Generals,8,36.11114,Security
9,Sire Denathrius,9,25.00002,Security
0,Shriekwing,0,5.55556,Familiar with Drama
1,Huntsman Altimor,1,2.77778,Familiar with Drama
2,Hungering Destroyer,2,8.33334,Familiar with Drama
3,Sun King's Salvation,3,5.55556,Familiar with Drama
4,Artificer Xy'mox,4,8.33334,Familiar with Drama
5,Lady Inerva Darkvein,5,2.77778,Familiar with Drama
6,The Council of Blood,6,13.8889,Familiar with Drama
7,Sludgefist,7,22.22224,Familiar with Drama
8,Stone Legion Generals,8,44.44448,Familiar with Drama
9,Sire Denathrius,9,11.11112,Familiar with Drama
0,Shriekwing,0,2.77778,Oblivion
1,Huntsman Altimor,1,2.77778,Oblivion
2,Hungering Destroyer,2,5.55556,Oblivion
3,Sun King's Salvation,3,8.33334,Oblivion
4,Artificer Xy'mox,4,13.8889,Oblivion
5,Lady Inerva Darkvein,5,8.33334,Oblivion
6,The Council of Blood,6,11.11112,Oblivion
7,Sludgefist,7,13.8889,Oblivion
8,Stone Legion Generals,8,44.44448,Oblivion
9,Sire Denathrius,9,30.55558,Oblivion
0,Shriekwing,0,5.55556,baited
1,Huntsman Altimor,1,2.77778,baited
2,Hungering Destroyer,2,8.33334,baited
3,Sun King's Salvation,3,8.33334,baited
4,Artificer Xy'mox,4,8.33334,baited
5,Lady Inerva Darkvein,5,5.55556,baited
6,The Council of Blood,6,16.66668,baited
7,Sludgefist,7,8.33334,baited
8,Stone Legion Generals,8,47.22226,baited
9,Sire Denathrius,9,38.88892,baited
0,Shriekwing,0,2.77778,Advance
1,Huntsman Altimor,1,0.0,Advance
2,Hungering Destroyer,2,2.77778,Advance
3,Sun King's Salvation,3,8.33334,Advance
4,Artificer Xy'mox,4,8.33334,Advance
5,Lady Inerva Darkvein,5,2.77778,Advance
6,The Council of Blood,6,8.33334,Advance
7,Sludgefist,7,2.77778,Advance
8,Stone Legion Generals,8,33.33336,Advance
9,Sire Denathrius,9,25.00002,Advance
0,Shriekwing,0,2.77778,SNYGGA POJKAR
1,Huntsman Altimor,1,2.77778,SNYGGA POJKAR
2,Hungering Destroyer,2,2.77778,SNYGGA POJKAR
3,Sun King's Salvation,3,2.77778,SNYGGA POJKAR
4,Artificer Xy'mox,4,0.0,SNYGGA POJKAR
5,Lady Inerva Darkvein,5,0.0,SNYGGA POJKAR
6,The Council of Blood,6,2.77778,SNYGGA POJKAR
7,Sludgefist,7,5.55556,SNYGGA POJKAR
8,Stone Legion Generals,8,5.55556,SNYGGA POJKAR
9,Sire Denathrius,9,11.11112,SNYGGA POJKAR
0,Shriekwing,0,0.0,Innominatum
1,Huntsman Altimor,1,0.0,Innominatum
2,Hungering Destroyer,2,0.0,Innominatum
3,Sun King's Salvation,3,0.0,Innominatum
4,Artificer Xy'mox,4,0.0,Innominatum
5,Lady Inerva Darkvein,5,2.77778,Innominatum
6,The Council of Blood,6,0.0,Innominatum
7,Sludgefist,7,2.77778,Innominatum
8,Stone Legion Generals,8,0.0,Innominatum
0,Shriekwing,0,2.77778,Innervision
1,Huntsman Altimor,1,0.0,Innervision
2,Hungering Destroyer,2,2.77778,Innervision
3,Sun King's Salvation,3,8.33334,Innervision
4,Artificer Xy'mox,4,13.8889,Innervision
5,Lady Inerva Darkvein,5,5.55556,Innervision
6,The Council of Blood,6,11.11112,Innervision
7,Sludgefist,7,19.44446,Innervision
8,Stone Legion Generals,8,50.00004,Innervision
9,Sire Denathrius,9,41.6667,Innervision
0,Shriekwing,0,5.55556,Myth
1,Huntsman Altimor,1,16.66668,Myth
2,Hungering Destroyer,2,5.55556,Myth
3,Sun King's Salvation,3,8.33334,Myth
4,Artificer Xy'mox,4,13.8889,Myth
5,Lady Inerva Darkvein,5,2.77778,Myth
6,The Council of Blood,6,38.88892,Myth
7,Sludgefist,7,25.00002,Myth
8,Stone Legion Generals,8,38.88892,Myth
9,Sire Denathrius,9,41.6667,Myth
0,Shriekwing,0,0.0,Dedicated Casuals
1,Huntsman Altimor,1,0.0,Dedicated Casuals
2,Hungering Destroyer,2,8.33334,Dedicated Casuals
3,Sun King's Salvation,3,5.55556,Dedicated Casuals
4,Artificer Xy'mox,4,5.55556,Dedicated Casuals
5,Lady Inerva Darkvein,5,8.33334,Dedicated Casuals
6,The Council of Blood,6,13.8889,Dedicated Casuals
7,Sludgefist,7,27.7778,Dedicated Casuals
8,Stone Legion Generals,8,27.7778,Dedicated Casuals
9,Sire Denathrius,9,38.88892,Dedicated Casuals
0,Shriekwing,0,0.0,Waít for it
1,Huntsman Altimor,1,5.55556,Waít for it
2,Hungering Destroyer,2,2.77778,Waít for it
3,Sun King's Salvation,3,11.11112,Waít for it
4,Artificer Xy'mox,4,2.77778,Waít for it
5,Lady Inerva Darkvein,5,2.77778,Waít for it
6,The Council of Blood,6,8.33334,Waít for it
7,Sludgefist,7,5.55556,Waít for it
8,Stone Legion Generals,8,5.55556,Waít for it
9,Sire Denathrius,9,8.33334,Waít for it
0,Shriekwing,0,0.0,Quichons
1,Huntsman Altimor,1,0.0,Quichons
2,Hungering Destroyer,2,0.0,Quichons
3,Sun King's Salvation,3,8.33334,Quichons
4,Artificer Xy'mox,4,13.8889,Quichons
5,Lady Inerva Darkvein,5,2.77778,Quichons
6,The Council of Blood,6,2.77778,Quichons
7,Sludgefist,7,13.8889,Quichons
8,Stone Legion Generals,8,25.00002,Quichons
9,Sire Denathrius,9,27.7778,Quichons
0,Shriekwing,0,0.0,The Amazing Zoo
1,Huntsman Altimor,1,0.0,The Amazing Zoo
2,Hungering Destroyer,2,2.77778,The Amazing Zoo
3,Sun King's Salvation,3,2.77778,The Amazing Zoo
4,Artificer Xy'mox,4,13.8889,The Amazing Zoo
5,Lady Inerva Darkvein,5,13.8889,The Amazing Zoo
6,The Council of Blood,6,13.8889,The Amazing Zoo
7,Sludgefist,7,8.33334,The Amazing Zoo
8,Stone Legion Generals,8,27.7778,The Amazing Zoo
9,Sire Denathrius,9,33.33336,The Amazing Zoo
0,Shriekwing,0,5.55556,Benched
1,Huntsman Altimor,1,2.77778,Benched
2,Hungering Destroyer,2,5.55556,Benched
3,Sun King's Salvation,3,5.55556,Benched
4,Artificer Xy'mox,4,2.77778,Benched
5,Lady Inerva Darkvein,5,0.0,Benched
6,The Council of Blood,6,16.66668,Benched
7,Sludgefist,7,13.8889,Benched
8,Stone Legion Generals,8,22.22224,Benched
9,Sire Denathrius,9,22.22224,Benched
0,Shriekwing,0,13.8889,Vision
1,Huntsman Altimor,1,13.8889,Vision
2,Hungering Destroyer,2,8.33334,Vision
3,Sun King's Salvation,3,13.8889,Vision
4,Artificer Xy'mox,4,13.8889,Vision
5,Lady Inerva Darkvein,5,8.33334,Vision
6,The Council of Blood,6,11.11112,Vision
7,Sludgefist,7,19.44446,Vision
8,Stone Legion Generals,8,55.5556,Vision
9,Sire Denathrius,9,25.00002,Vision
0,Shriekwing,0,2.77778,Union
1,Huntsman Altimor,1,0.0,Union
2,Hungering Destroyer,2,5.55556,Union
3,Sun King's Salvation,3,8.33334,Union
4,Artificer Xy'mox,4,2.77778,Union
5,Lady Inerva Darkvein,5,5.55556,Union
6,The Council of Blood,6,13.8889,Union
7,Sludgefist,7,11.11112,Union
8,Stone Legion Generals,8,33.33336,Union
9,Sire Denathrius,9,22.22224,Union
0,Shriekwing,0,2.77778,Infinity
1,Huntsman Altimor,1,2.77778,Infinity
2,Hungering Destroyer,2,8.33334,Infinity
3,Sun King's Salvation,3,5.55556,Infinity
4,Artificer Xy'mox,4,8.33334,Infinity
5,Lady Inerva Darkvein,5,8.33334,Infinity
6,The Council of Blood,6,11.11112,Infinity
7,Sludgefist,7,11.11112,Infinity
8,Stone Legion Generals,8,38.88892,Infinity
9,Sire Denathrius,9,19.44446,Infinity
0,Shriekwing,0,2.77778,Consequence
1,Huntsman Altimor,1,0.0,Consequence
2,Hungering Destroyer,2,8.33334,Consequence
3,Sun King's Salvation,3,11.11112,Consequence
4,Artificer Xy'mox,4,8.33334,Consequence
5,Lady Inerva Darkvein,5,8.33334,Consequence
6,The Council of Blood,6,19.44446,Consequence
7,Sludgefist,7,11.11112,Consequence
8,Stone Legion Generals,8,33.33336,Consequence
9,Sire Denathrius,9,27.7778,Consequence
0,Shriekwing,0,0.0,Polaris
1,Huntsman Altimor,1,0.0,Polaris
2,Hungering Destroyer,2,11.11112,Polaris
3,Sun King's Salvation,3,8.33334,Polaris
4,Artificer Xy'mox,4,8.33334,Polaris
5,Lady Inerva Darkvein,5,0.0,Polaris
6,The Council of Blood,6,13.8889,Polaris
7,Sludgefist,7,11.11112,Polaris
8,Stone Legion Generals,8,13.8889,Polaris
9,Sire Denathrius,9,19.44446,Polaris
0,Shriekwing,0,11.11112,vodka
1,Huntsman Altimor,1,22.22224,vodka
2,Hungering Destroyer,2,11.11112,vodka
3,Sun King's Salvation,3,8.33334,vodka
4,Artificer Xy'mox,4,11.11112,vodka
5,Lady Inerva Darkvein,5,2.77778,vodka
6,The Council of Blood,6,22.22224,vodka
7,Sludgefist,7,22.22224,vodka
8,Stone Legion Generals,8,41.6667,vodka
9,Sire Denathrius,9,52.7778,vodka
0,Shriekwing,0,5.55556,Country Club
1,Huntsman Altimor,1,5.55556,Country Club
2,Hungering Destroyer,2,5.55556,Country Club
3,Sun King's Salvation,3,13.8889,Country Club
4,Artificer Xy'mox,4,8.33334,Country Club
5,Lady Inerva Darkvein,5,8.33334,Country Club
6,The Council of Blood,6,13.8889,Country Club
7,Sludgefist,7,11.11112,Country Club
8,Stone Legion Generals,8,33.33336,Country Club
9,Sire Denathrius,9,25.00002,Country Club
0,Shriekwing,0,2.77778,Fused
1,Huntsman Altimor,1,8.33334,Fused
2,Hungering Destroyer,2,2.77778,Fused
3,Sun King's Salvation,3,2.77778,Fused
4,Artificer Xy'mox,4,2.77778,Fused
5,Lady Inerva Darkvein,5,5.55556,Fused
6,The Council of Blood,6,5.55556,Fused
7,Sludgefist,7,11.11112,Fused
8,Stone Legion Generals,8,11.11112,Fused
9,Sire Denathrius,9,13.8889,Fused
0,Shriekwing,0,0.0,Melee Mechanics
1,Huntsman Altimor,1,2.77778,Melee Mechanics
2,Hungering Destroyer,2,8.33334,Melee Mechanics
3,Sun King's Salvation,3,2.77778,Melee Mechanics
4,Artificer Xy'mox,4,0.0,Melee Mechanics
5,Lady Inerva Darkvein,5,8.33334,Melee Mechanics
6,The Council of Blood,6,11.11112,Melee Mechanics
7,Sludgefist,7,5.55556,Melee Mechanics
8,Stone Legion Generals,8,22.22224,Melee Mechanics
9,Sire Denathrius,9,16.66668,Melee Mechanics
0,Shriekwing,0,2.77778,Might
1,Huntsman Altimor,1,2.77778,Might
2,Hungering Destroyer,2,2.77778,Might
3,Sun King's Salvation,3,5.55556,Might
4,Artificer Xy'mox,4,5.55556,Might
5,Lady Inerva Darkvein,5,2.77778,Might
6,The Council of Blood,6,11.11112,Might
7,Sludgefist,7,13.8889,Might
8,Stone Legion Generals,8,41.6667,Might
9,Sire Denathrius,9,25.00002,Might
0,Shriekwing,0,5.55556,Wizards and Monkeys
1,Huntsman Altimor,1,5.55556,Wizards and Monkeys
2,Hungering Destroyer,2,22.22222,Wizards and Monkeys
3,Sun King's Salvation,3,2.77778,Wizards and Monkeys
4,Artificer Xy'mox,4,8.33334,Wizards and Monkeys
5,Lady Inerva Darkvein,5,30.55556,Wizards and Monkeys
6,The Council of Blood,6,8.33334,Wizards and Monkeys
7,Sludgefist,7,8.33334,Wizards and Monkeys
8,Stone Legion Generals,8,127.7778,Wizards and Monkeys
9,Sire Denathrius,9,55.55558,Wizards and Monkeys
0,Shriekwing,0,2.77778,didnt ask
1,Huntsman Altimor,1,2.77778,didnt ask
2,Hungering Destroyer,2,8.33334,didnt ask
3,Sun King's Salvation,3,8.33334,didnt ask
4,Artificer Xy'mox,4,11.11112,didnt ask
5,Lady Inerva Darkvein,5,22.22222,didnt ask
6,The Council of Blood,6,5.55556,didnt ask
7,Sludgefist,7,8.33334,didnt ask
8,Stone Legion Generals,8,19.44446,didnt ask
9,Sire Denathrius,9,11.11112,didnt ask
0,Shriekwing,0,2.77778,Formality
1,Huntsman Altimor,1,2.77778,Formality
2,Hungering Destroyer,2,25.0,Formality
3,Sun King's Salvation,3,5.55556,Formality
4,Artificer Xy'mox,4,5.55556,Formality
5,Lady Inerva Darkvein,5,25.0,Formality
6,The Council of Blood,6,33.33334,Formality
7,Sludgefist,7,13.8889,Formality
8,Stone Legion Generals,8,83.33336,Formality
9,Sire Denathrius,9,55.55558,Formality
0,Shriekwing,0,5.55556,Spike Flail
1,Huntsman Altimor,1,2.77778,Spike Flail
2,Hungering Destroyer,2,5.55556,Spike Flail
3,Sun King's Salvation,3,13.8889,Spike Flail
4,Artificer Xy'mox,4,5.55556,Spike Flail
5,Lady Inerva Darkvein,5,8.33334,Spike Flail
6,The Council of Blood,6,25.00002,Spike Flail
7,Sludgefist,7,19.44446,Spike Flail
8,Stone Legion Generals,8,41.6667,Spike Flail
9,Sire Denathrius,9,33.33336,Spike Flail
0,Shriekwing,0,8.33334,HC
1,Huntsman Altimor,1,25.00002,HC
2,Hungering Destroyer,2,22.22224,HC
3,Sun King's Salvation,3,16.66668,HC
4,Artificer Xy'mox,4,13.8889,HC
5,Lady Inerva Darkvein,5,16.66668,HC
6,The Council of Blood,6,30.55558,HC
7,Sludgefist,7,22.22224,HC
8,Stone Legion Generals,8,55.5556,HC
9,Sire Denathrius,9,55.5556,HC
0,Shriekwing,0,2.77778,Unity
1,Huntsman Altimor,1,0.0,Unity
2,Hungering Destroyer,2,5.55556,Unity
3,Sun King's Salvation,3,11.11112,Unity
4,Artificer Xy'mox,4,8.33334,Unity
5,Lady Inerva Darkvein,5,11.11112,Unity
6,The Council of Blood,6,33.33336,Unity
7,Sludgefist,7,22.22224,Unity
8,Stone Legion Generals,8,61.11116,Unity
9,Sire Denathrius,9,55.55558,Unity
0,Shriekwing,0,0.0,Vigil
1,Huntsman Altimor,1,0.0,Vigil
2,Hungering Destroyer,2,8.33334,Vigil
3,Sun King's Salvation,3,2.77778,Vigil
4,Artificer Xy'mox,4,5.55556,Vigil
5,Lady Inerva Darkvein,5,8.33334,Vigil
6,The Council of Blood,6,11.11112,Vigil
7,Sludgefist,7,11.11112,Vigil
8,Stone Legion Generals,8,33.33336,Vigil
9,Sire Denathrius,9,50.00004,Vigil
0,Shriekwing,0,2.77778,Muscle Memory
1,Huntsman Altimor,1,2.77778,Muscle Memory
2,Hungering Destroyer,2,8.33334,Muscle Memory
3,Sun King's Salvation,3,16.66668,Muscle Memory
4,Artificer Xy'mox,4,8.33334,Muscle Memory
5,Lady Inerva Darkvein,5,11.11112,Muscle Memory
6,The Council of Blood,6,13.8889,Muscle Memory
7,Sludgefist,7,19.44446,Muscle Memory
8,Stone Legion Generals,8,41.6667,Muscle Memory
9,Sire Denathrius,9,36.11114,Muscle Memory
0,Shriekwing,0,5.55556,Lethal
1,Huntsman Altimor,1,2.77778,Lethal
2,Hungering Destroyer,2,2.77778,Lethal
3,Sun King's Salvation,3,2.77778,Lethal
4,Artificer Xy'mox,4,8.33334,Lethal
5,Lady Inerva Darkvein,5,2.77778,Lethal
6,The Council of Blood,6,8.33334,Lethal
7,Sludgefist,7,13.8889,Lethal
8,Stone Legion Generals,8,33.33336,Lethal
9,Sire Denathrius,9,25.00002,Lethal
0,Shriekwing,0,5.55556,Inside Voices
1,Huntsman Altimor,1,2.77778,Inside Voices
2,Hungering Destroyer,2,0.0,Inside Voices
3,Sun King's Salvation,3,2.77778,Inside Voices
4,Artificer Xy'mox,4,0.0,Inside Voices
5,Lady Inerva Darkvein,5,0.0,Inside Voices
6,The Council of Blood,6,5.55556,Inside Voices
7,Sludgefist,7,16.66668,Inside Voices
8,Stone Legion Generals,8,11.11112,Inside Voices
9,Sire Denathrius,9,5.55556,Inside Voices
0,Shriekwing,0,0.0,poptart corndoG
1,Huntsman Altimor,1,2.77778,poptart corndoG
2,Hungering Destroyer,2,2.77778,poptart corndoG
3,Sun King's Salvation,3,11.11112,poptart corndoG
4,Artificer Xy'mox,4,8.33334,poptart corndoG
5,Lady Inerva Darkvein,5,8.33334,poptart corndoG
6,The Council of Blood,6,5.55556,poptart corndoG
7,Sludgefist,7,27.77778,poptart corndoG
8,Stone Legion Generals,8,86.11113,poptart corndoG
9,Sire Denathrius,9,27.7778,poptart corndoG
0,Shriekwing,0,2.77778,Essence
1,Huntsman Altimor,1,0.0,Essence
2,Hungering Destroyer,2,25.0,Essence
3,Sun King's Salvation,3,2.77778,Essence
4,Artificer Xy'mox,4,25.0,Essence
5,Lady Inerva Darkvein,5,2.77778,Essence
6,The Council of Blood,6,33.33334,Essence
7,Sludgefist,7,52.77778,Essence
8,Stone Legion Generals,8,11.11112,Essence
9,Sire Denathrius,9,13.8889,Essence
0,Shriekwing,0,0.0,We Gucci
1,Huntsman Altimor,1,8.33334,We Gucci
2,Hungering Destroyer,2,30.55556,We Gucci
3,Sun King's Salvation,3,5.55556,We Gucci
4,Artificer Xy'mox,4,27.77778,We Gucci
5,Lady Inerva Darkvein,5,25.0,We Gucci
6,The Council of Blood,6,80.55556,We Gucci
7,Sludgefist,7,33.33334,We Gucci
8,Stone Legion Generals,8,108.33334,We Gucci
9,Sire Denathrius,9,91.66667,We Gucci
0,Shriekwing,0,0.0,Focus Up
1,Huntsman Altimor,1,0.0,Focus Up
2,Hungering Destroyer,2,5.55556,Focus Up
3,Sun King's Salvation,3,5.55556,Focus Up
4,Artificer Xy'mox,4,2.77778,Focus Up
5,Lady Inerva Darkvein,5,2.77778,Focus Up
6,The Council of Blood,6,13.8889,Focus Up
7,Sludgefist,7,2.77778,Focus Up
8,Stone Legion Generals,8,38.88892,Focus Up
9,Sire Denathrius,9,69.44445,Focus Up
0,Shriekwing,0,2.77778,Idiot
1,Huntsman Altimor,1,5.55556,Idiot
2,Hungering Destroyer,2,0.0,Idiot
3,Sun King's Salvation,3,27.77778,Idiot
4,Artificer Xy'mox,4,2.77778,Idiot
5,Lady Inerva Darkvein,5,2.77778,Idiot
