,guild_name,daily_hours,weekly_hours
0,Didnt Ask,3,3
0,DKG,3,5
0,OBSCURE REFERENCE,3,3
0,Trash Mob Death Machine,3,8
0,Fury,3,8
0,yeah right,3,8
0,Fate,0,3
0,Kultzipuppelit,3,8
0,Bag for Life,3,5
0,raise,3,5
0,Lordaerons Erben,3,0
0,Lakko,3,8
0,RR inc,3,8
0,Virtual,3,5
0,RETRY,3,5
0,Revoke,3,3
0,HKM,3,5
0,Digress,3,5
0,Death and Glory,3,11
0,styx,3,5
0,Blessing of Wisdom,3,8
0,Debauchery Teaparty,3,3
0,Infected Nation,3,5
0,Candy Truck,3,3
0,Curry Pain,3,3
0,Landogar,3,5
0,Deus Ex,3,8
0,Alpha,3,8
0,Caustic,3,8
0,Temporary Insanity,3,8
0,W H Y,3,8
0,Project HD,3,11
0,Wing It,3,5
0,Obey,3,8
0,Indestructible,3,11
0,Imagine Progress,3,8
0,Nexus Sx,3,8
0,Keep Calm,3,11
0,Kirkland Signature,3,8
0,Polite,3,5
0,CelestialBeing,3,5
0,Friendly Banter,3,8
0,pazifik,3,8
0,Nuke Society,3,14
0,Yeet,3,5
0,Death Wish,3,5
0,So Fluffy,3,5
0,I N V I C T A,3,5
0,Addicted,3,3
0,Mayhem,3,5
0,big dumb kids,3,8
0,CMT,3,8
0,Swapblasters,3,8
0,Fysikbasserne,3,3
0,Beyond Darkness,3,5
0,D A W N,3,3
0,Ashes of Harmony,3,5
0,Epic Whine,3,3
0,High Quality,3,5
0,Oracle,3,5
0,Folkvang,3,5
0,Rally,3,5
0,TAG,3,3
0,Nox,3,5
0,ad hoc,3,5
0,Notorious,3,5
0,Quality Check,3,5
0,Snowblind,3,3
0,CthUwU,3,8
0,Shuffle,3,5
0,Sacred Lotus,3,5
0,Okay,3,5
0,just sit me,3,5
0,Dinosaur Cowboys,3,5
0,Business Class,3,8
0,Thats My Cousin,3,3
0,scheme team,3,5
